Student_ID,Study_Hours,Attendance,Assignment_Score,Final_Marks
1,7,71,61,68.45
2,4,93,50,69.5
3,8,92,87,81.65
4,5,82,55,60.75
5,7,83,72,70.15
6,10,96,48,76.6
7,3,94,99,68.8
8,7,99,98,85.85
9,8,81,45,77.5
10,5,86,55,62.75
11,4,94,68,74.1
12,8,60,42,65.15
13,8,94,59,77.05
14,3,96,99,76.55
15,6,73,98,75.6
16,5,62,75,67.25
17,2,60,58,54.35
18,8,64,65,76.5
19,6,85,42,72.65
20,2,73,58,50.1
21,5,98,59,70.3
22,1,86,71,57.7
23,10,68,46,76.95
24,6,74,91,72.2
25,9,74,80,81.25
26,1,85,72,59.15
27,10,72,79,83.05
28,3,91,78,71.35
29,7,98,57,77.4
30,4,91,79,64.05
31,9,63,40,75
32,3,89,50,58.25
33,5,96,67,65.65
34,3,82,96,69.7
35,7,98,64,82.8
36,5,74,89,67.8
37,9,88,62,84.65
38,7,95,70,78
39,2,72,69,57.55
40,4,91,81,70.45
41,9,66,74,82.05
42,2,81,46,49.2
43,10,87,99,92.55
44,9,61,55,75.75
45,10,65,65,80.75
46,5,87,87,72.4
47,2,87,96,66.45
48,4,79,91,74.45
49,7,89,99,86.8
50,8,70,88,79.1
51,3,87,41,59.95
52,1,84,40,52.5
53,4,98,87,71.4
54,2,92,51,59.45
55,8,60,44,65.8
56,4,86,76,69.2
57,2,72,71,51.2
58,6,100,98,79.35
59,6,62,94,70.8
60,10,98,48,86.85
61,4,65,80,64.25
62,6,67,74,62.55
63,2,86,58,61.35
64,10,68,87,88.15
65,2,96,55,59.25
66,10,92,42,86.15
67,4,83,59,64.8
68,8,74,63,79.1
69,7,91,93,80.1
70,9,91,95,86.75
71,8,83,72,71.9
72,5,100,63,71.6
73,2,71,91,64.7
74,5,98,50,62.25
75,8,61,88,75.6
76,10,62,47,71.4
77,9,96,75,88.25
78,9,76,77,81.9
79,1,61,79,48.55
80,9,61,59,77.05
81,7,87,74,81.8
82,9,82,87,86.9
83,8,96,64,80.3
84,1,91,74,63.3
85,8,92,64,78.55
86,8,60,68,73.6
87,3,78,57,64.65
88,1,61,85,53.75
89,8,85,57,74.9
90,3,91,41,55.45
91,3,65,93,57.85
92,1,91,74,61.8
93,5,63,55,65.25
94,10,70,100,84.75
95,7,76,80,68.5
96,10,97,75,83.5
97,9,83,72,85.9
98,7,64,43,61.85
99,9,93,72,80.4
100,8,65,53,66.1
